IsWinner,ProductId,TimeOfOfferChange,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,Yes,94.0,0,0,1.20714e+18,0.0,672,1008
Yes,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,107.35,95,4078,-1.78949e+18,0.0,48,72
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,100.46,98,478,5.45208e+18,6.99,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,99.24,95,4384,-2.57228e+18,11.67,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,No,No,109.48,94,105,-8.70403e+18,8.99,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,No,No,116.7,67,9,1.92905e+18,6.98,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,124.69,100,4601,5.65722e+18,0.0,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,120.08,96,1790,1.7888e+18,9.98,96,120
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,125.73,91,10606,-1.17741e+18,5.0,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,121.27,96,1790,1.7888e+18,9.98,96,120
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,133.12,96,35264,6.79157e+18,0.0,96,120
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,123.77,96,7090,-3.73508e+17,12.95,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,139.58,94,178,-8.07012e+18,0.0,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,136.71,100,3,7.50764e+17,5.54,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,131.25,94,337,2.76016e+18,14.99,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,140.26,96,41419,9.01243e+18,7.0,24,48
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,145.93,100,35,5.55422e+18,1.34,96,120
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,150.27,100,20,9.00833e+18,0.0,72,96
No,-4.88526e+18,2016-02-04T04:26:52.136Z,Yes,No,150.79,100,26,5.81197e+18,0.0,72,96
No,-6.21988e+18,2016-02-04T04:27:21.627Z,No,No,78.64,98,3293,4.14351e+18,10.99,24,48
Yes,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,89.64,96,35264,6.79157e+18,0.0,96,120
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,Yes,90.86,0,0,1.20714e+18,0.0,672,1008
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,81.49,96,1790,1.7888e+18,9.98,96,120
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,82.56,96,1790,1.7888e+18,9.98,96,120
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,74.07,93,2521,-5.016e+18,21.69,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,85.75,95,4384,-2.57228e+18,11.31,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,94.14,91,10606,-1.17741e+18,5.0,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,97.45,91,10606,-1.17741e+18,5.0,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,102.71,88,8452,-6.63969e+18,13.19,96,120
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,109.13,96,41419,9.01243e+18,7.0,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,116.13,95,5535,-8.85218e+18,0.0,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,99.16,97,4513,6.22743e+17,23.38,144,240
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,138.9,98,1446,1.16312e+18,0.0,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,142.36,96,1326,8.64876e+18,0.0,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,170.76,82,28,3.36938e+18,50.46,24,48
No,-6.21988e+18,2016-02-04T04:27:21.627Z,Yes,No,363.01,99,79,-1.86921e+18,0.0,24,48
Yes,-2.4064e+18,2016-02-04T04:29:07.495Z,Yes,No,67.0,91,3459,7.2357e+18,0.0,24,48
No,-2.4064e+18,2016-02-04T04:29:07.495Z,Yes,No,57.07,96,1790,1.7888e+18,9.98,96,120
No,-2.4064e+18,2016-02-04T04:29:07.495Z,Yes,No,67.72,96,35264,6.79157e+18,0.0,96,120
No,-2.4064e+18,2016-02-04T04:29:07.495Z,Yes,No,52.22,93,2521,-5.016e+18,21.94,24,48
No,-2.4064e+18,2016-02-04T04:29:07.495Z,Yes,No,70.67,91,10606,-1.17741e+18,5.0,24,48
